Booking ID,Cancelled Rides by Customer Reason,Cancelled Rides by Driver Reason,Incomplete Ride Reason
BKG000214,,,Customer Demand
BKG000215,,,Customer Demand
BKG000219,,,Customer Demand
BKG000220,Wrong Address,,
BKG000226,,The customer was coughing/sick,
BKG000227,,,Other Issue
BKG000228,,Personal & Car related issues,
BKG000232,,,Other Issue
BKG000233,,,Vehicle Breakdown
BKG000242,Driver is not moving towards pickup location,,
BKG000244,,,Customer Demand
BKG000245,,Personal & Car related issues,
BKG000246,,Customer related issue,
BKG000247,,Customer related issue,
BKG000254,,,Other Issue
BKG000255,,More than permitted people in there,
BKG000256,,More than permitted people in there,
BKG000257,,Customer related issue,
BKG000262,,,Vehicle Breakdown
BKG000274,,Personal & Car related issues,
BKG000275,,,Vehicle Breakdown
BKG000279,Driver asked to cancel,,
BKG000281,,,Other Issue
BKG000286,,The customer was coughing/sick,
BKG000287,,,Vehicle Breakdown
BKG000288,,Customer related issue,
BKG000297,,More than permitted people in there,
BKG000298,,Customer related issue,
BKG000303,,Personal & Car related issues,
BKG000309,Wrong Address,,
BKG000310,,Personal & Car related issues,
BKG000314,Driver asked to cancel,,
BKG000315,,,Customer Demand
BKG000316,,More than permitted people in there,
BKG000324,AC is not working,,
BKG000327,,,Other Issue
BKG000331,,,Vehicle Breakdown
BKG000332,,The customer was coughing/sick,
BKG000334,Driver asked to cancel,,
BKG000336,,More than permitted people in there,
BKG000337,Wrong Address,,
BKG000342,,Personal & Car related issues,
BKG000343,,,Vehicle Breakdown
BKG000348,,More than permitted people in there,
BKG000350,AC is not working,,
BKG000353,,Customer related issue,
BKG000355,,,Customer Demand
BKG000357,Driver asked to cancel,,
BKG000361,,,Vehicle Breakdown
BKG000362,Change of plans,,
BKG000366,,,Other Issue
BKG000368,AC is not working,,
BKG000369,,,Customer Demand
BKG000375,,The customer was coughing/sick,
BKG000385,,The customer was coughing/sick,
BKG000389,,Personal & Car related issues,
BKG000390,,More than permitted people in there,
BKG000391,,The customer was coughing/sick,
BKG000394,,,Vehicle Breakdown
BKG000396,,More than permitted people in there,
BKG000401,,,Other Issue
BKG000402,,More than permitted people in there,
BKG000408,,The customer was coughing/sick,
BKG000409,,Personal & Car related issues,
BKG000410,,Customer related issue,
BKG000413,AC is not working,,
BKG000414,,The customer was coughing/sick,
BKG000420,,,Customer Demand
BKG000421,,More than permitted people in there,
BKG000429,AC is not working,,
BKG000430,,,Vehicle Breakdown
BKG000436,,More than permitted people in there,
BKG000437,,The customer was coughing/sick,
BKG000438,,More than permitted people in there,
BKG000439,,,Customer Demand
BKG000442,Change of plans,,
BKG000446,,More than permitted people in there,
BKG000447,,Personal & Car related issues,
BKG000448,,The customer was coughing/sick,
BKG000449,Driver is not moving towards pickup location,,
BKG000450,Change of plans,,
BKG000453,,Personal & Car related issues,
BKG000454,,The customer was coughing/sick,
BKG000455,Change of plans,,
BKG000460,,More than permitted people in there,
BKG000461,,Personal & Car related issues,
BKG000462,,Customer related issue,
BKG000468,Driver is not moving towards pickup location,,
BKG000471,,,Customer Demand
BKG000474,,,Other Issue
BKG000476,Driver is not moving towards pickup location,,
BKG000479,Driver is not moving towards pickup location,,
BKG000483,,Personal & Car related issues,
BKG000484,,,Customer Demand
BKG000485,,Personal & Car related issues,
BKG000486,,The customer was coughing/sick,
BKG000490,,More than permitted people in there,
BKG000493,,,Other Issue
BKG000498,,Customer related issue,
BKG000501,Driver is not moving towards pickup location,,
BKG000504,,The customer was coughing/sick,
BKG000505,,The customer was coughing/sick,
BKG000510,AC is not working,,
BKG000511,,More than permitted people in there,
BKG000512,,,Customer Demand
BKG000516,Change of plans,,
BKG000517,,,Customer Demand
BKG000523,,Personal & Car related issues,
BKG000524,,,Vehicle Breakdown
BKG000525,,Personal & Car related issues,
BKG000527,,The customer was coughing/sick,
BKG000528,Wrong Address,,
BKG000533,,More than permitted people in there,
BKG000537,,Personal & Car related issues,
BKG000541,,,Customer Demand
BKG000546,,More than permitted people in there,
BKG000547,Wrong Address,,
BKG000549,Change of plans,,
BKG000552,,The customer was coughing/sick,
BKG000553,,Personal & Car related issues,
BKG000554,,Personal & Car related issues,
BKG000555,AC is not working,,
BKG000560,Change of plans,,
BKG000561,Driver is not moving towards pickup location,,
BKG000564,,Personal & Car related issues,
BKG000565,,More than permitted people in there,
BKG000566,,,Customer Demand
BKG000572,,,Customer Demand
BKG000576,,Customer related issue,
BKG000579,,Personal & Car related issues,
BKG000589,AC is not working,,
BKG000592,,Personal & Car related issues,
BKG000598,,Personal & Car related issues,
BKG000599,,Personal & Car related issues,
BKG000602,,The customer was coughing/sick,
BKG000607,,The customer was coughing/sick,
BKG000608,,The customer was coughing/sick,
BKG000613,,,Vehicle Breakdown
BKG000614,Driver asked to cancel,,
BKG000620,,Personal & Car related issues,
BKG000621,,,Customer Demand
BKG000625,,,Vehicle Breakdown
BKG000626,,The customer was coughing/sick,
BKG000629,,,Customer Demand
BKG000633,,The customer was coughing/sick,
BKG000634,Change of plans,,
BKG000636,,Customer related issue,
BKG000637,,More than permitted people in there,
BKG000638,,,Other Issue
BKG000641,AC is not working,,
BKG000644,,The customer was coughing/sick,
BKG000645,,,Other Issue
BKG000646,,The customer was coughing/sick,
BKG000653,,,Vehicle Breakdown
BKG000654,,,Customer Demand
BKG000655,,The customer was coughing/sick,
BKG000662,,The customer was coughing/sick,
BKG000663,,More than permitted people in there,
BKG000664,,More than permitted people in there,
BKG000671,,Customer related issue,
BKG000672,,The customer was coughing/sick,
BKG000678,,More than permitted people in there,
BKG000688,,Customer related issue,
BKG000689,,More than permitted people in there,
BKG000694,,Personal & Car related issues,
BKG000696,AC is not working,,
BKG000703,,The customer was coughing/sick,
BKG000704,,The customer was coughing/sick,
BKG000708,,,Customer Demand
BKG000717,,,Customer Demand
BKG000718,,,Vehicle Breakdown
BKG000724,,,Customer Demand
BKG000727,Wrong Address,,
BKG000728,,Personal & Car related issues,
BKG000729,,The customer was coughing/sick,
BKG000730,,,Customer Demand
BKG000735,,Customer related issue,
BKG000739,,Personal & Car related issues,
BKG000744,Change of plans,,
BKG000748,,,Vehicle Breakdown
BKG000749,,Customer related issue,
BKG000750,Change of plans,,
BKG000757,Wrong Address,,
BKG000761,,Personal & Car related issues,
BKG000762,,The customer was coughing/sick,
BKG000763,,,Customer Demand
BKG000766,Driver is not moving towards pickup location,,
BKG000772,,,Customer Demand
BKG000780,,,Vehicle Breakdown
BKG000784,,More than permitted people in there,
BKG000785,,Personal & Car related issues,
BKG000795,,,Customer Demand
BKG000796,,,Vehicle Breakdown
BKG000797,,,Vehicle Breakdown
BKG000798,Driver asked to cancel,,
BKG000802,,Customer related issue,
BKG000803,,More than permitted people in there,
BKG000804,,Personal & Car related issues,
BKG000805,Wrong Address,,
BKG000809,AC is not working,,
BKG000811,,The customer was coughing/sick,
BKG000812,,,Vehicle Breakdown
BKG000819,,More than permitted people in there,
BKG000820,,Customer related issue,
BKG000821,,,Vehicle Breakdown
BKG000822,,,Vehicle Breakdown
BKG000823,,Customer related issue,
BKG000827,Driver asked to cancel,,
BKG000828,,The customer was coughing/sick,
BKG000829,,,Vehicle Breakdown
BKG000834,,,Customer Demand
BKG000837,,,Customer Demand
BKG000843,Driver asked to cancel,,
BKG000845,,,Other Issue
BKG000846,Wrong Address,,
BKG000849,,,Customer Demand
BKG000850,Driver asked to cancel,,
BKG000864,,,Customer Demand
BKG000865,,The customer was coughing/sick,
BKG000866,,Customer related issue,
BKG000868,,,Vehicle Breakdown
BKG000876,AC is not working,,
BKG000882,,,Vehicle Breakdown
BKG000883,,Customer related issue,
BKG000886,Driver asked to cancel,,
BKG000887,,,Customer Demand
BKG000891,,Personal & Car related issues,
BKG000892,Wrong Address,,
BKG000895,Wrong Address,,
BKG000897,,,Other Issue
BKG000898,,Personal & Car related issues,
BKG000900,,More than permitted people in there,
BKG000902,Driver is not moving towards pickup location,,
BKG000906,,The customer was coughing/sick,
BKG000911,,,Customer Demand
BKG000915,,More than permitted people in there,
BKG000918,,,Other Issue
BKG000922,,,Vehicle Breakdown
BKG000926,,,Other Issue
BKG000933,,,Other Issue
BKG000934,,The customer was coughing/sick,
BKG000938,,Personal & Car related issues,
BKG000939,,Personal & Car related issues,
BKG000940,,,Customer Demand
BKG000945,Change of plans,,
BKG000946,,The customer was coughing/sick,
BKG000952,,,Vehicle Breakdown
BKG000953,Driver asked to cancel,,
BKG000956,,The customer was coughing/sick,
BKG000961,,The customer was coughing/sick,
BKG000963,,More than permitted people in there,
BKG000968,Wrong Address,,
BKG000971,,,Vehicle Breakdown
BKG000972,,,Customer Demand
BKG000973,,,Customer Demand
BKG000980,,Customer related issue,
BKG000981,,,Customer Demand
BKG000982,,,Customer Demand
BKG000983,,,Other Issue
BKG000989,,,Other Issue
BKG000990,,Personal & Car related issues,
BKG000991,,The customer was coughing/sick,
BKG000992,,More than permitted people in there,
BKG000993,,,Customer Demand
BKG000998,Wrong Address,,
BKG001001,,The customer was coughing/sick,
BKG001002,,More than permitted people in there,
BKG001003,,The customer was coughing/sick,
BKG001008,,More than permitted people in there,
BKG001010,AC is not working,,
BKG001012,,The customer was coughing/sick,
BKG001017,,,Vehicle Breakdown
BKG001024,,,Other Issue
BKG001025,,The customer was coughing/sick,
BKG001029,Wrong Address,,
BKG001031,Driver asked to cancel,,
BKG001032,,The customer was coughing/sick,
BKG001033,,,Other Issue
BKG001034,,The customer was coughing/sick,
BKG001038,,Customer related issue,
BKG001039,,,Other Issue
BKG001049,Driver is not moving towards pickup location,,
BKG001050,,Personal & Car related issues,
BKG001051,,,Customer Demand
BKG001058,,The customer was coughing/sick,
BKG001059,,,Vehicle Breakdown
BKG001060,,,Vehicle Breakdown
BKG001064,,,Customer Demand
BKG001065,,Customer related issue,
BKG001067,Wrong Address,,
BKG001068,Wrong Address,,
BKG001073,,More than permitted people in there,
BKG001074,,Personal & Car related issues,
BKG001075,,,Other Issue
BKG001082,Change of plans,,
BKG001083,Driver asked to cancel,,
BKG001084,Driver is not moving towards pickup location,,
BKG001087,,,Other Issue
BKG001088,,,Customer Demand
BKG001092,,Personal & Car related issues,
BKG001102,,,Other Issue
BKG001103,,,Customer Demand
BKG001110,AC is not working,,
BKG001111,,,Customer Demand
BKG001112,,The customer was coughing/sick,
BKG001113,,,Other Issue
BKG001119,,More than permitted people in there,
BKG001120,,Personal & Car related issues,
BKG001121,,More than permitted people in there,
BKG001126,,Personal & Car related issues,
BKG001129,,,Customer Demand
BKG001132,Driver is not moving towards pickup location,,
BKG001133,,,Customer Demand
BKG001136,,,Vehicle Breakdown
BKG001140,,,Vehicle Breakdown
BKG001144,Driver asked to cancel,,
BKG001147,,,Vehicle Breakdown
BKG001154,,,Other Issue
BKG001155,,More than permitted people in there,
BKG001156,,The customer was coughing/sick,
BKG001163,,,Vehicle Breakdown
BKG001164,,More than permitted people in there,
BKG001171,AC is not working,,
BKG001172,,Personal & Car related issues,
BKG001182,Wrong Address,,
BKG001184,AC is not working,,
BKG001189,,Customer related issue,
BKG001190,,Customer related issue,
BKG001199,Change of plans,,
BKG001200,,Customer related issue,
BKG001204,Driver asked to cancel,,
BKG001208,,The customer was coughing/sick,
BKG001209,,Personal & Car related issues,
BKG001215,,Personal & Car related issues,
BKG001217,,,Customer Demand
BKG001220,Driver is not moving towards pickup location,,
BKG001224,Change of plans,,
BKG001227,,The customer was coughing/sick,
BKG001231,,The customer was coughing/sick,
BKG001232,,Customer related issue,
BKG001235,AC is not working,,
BKG001236,,The customer was coughing/sick,
BKG001237,,The customer was coughing/sick,
BKG001247,,Personal & Car related issues,
BKG001248,,Customer related issue,
BKG001253,,,Vehicle Breakdown
BKG001254,,More than permitted people in there,
BKG001255,,Customer related issue,
BKG001256,,,Other Issue
BKG001260,Driver is not moving towards pickup location,,
BKG001261,Change of plans,,
BKG001263,,Customer related issue,
BKG001269,,The customer was coughing/sick,
BKG001271,Driver is not moving towards pickup location,,
BKG001272,,Customer related issue,
BKG001277,,Customer related issue,
BKG001278,,Personal & Car related issues,
BKG001281,,The customer was coughing/sick,
BKG001282,,Personal & Car related issues,
BKG001283,,,Other Issue
BKG001284,Change of plans,,
BKG001288,,,Other Issue
BKG001289,,More than permitted people in there,
BKG001292,Wrong Address,,
BKG001296,,,Vehicle Breakdown
BKG001297,,The customer was coughing/sick,
BKG001298,,More than permitted people in there,
BKG001299,,The customer was coughing/sick,
BKG001300,,,Customer Demand
BKG001301,,More than permitted people in there,
BKG001302,,Personal & Car related issues,
BKG001306,AC is not working,,
BKG001309,,The customer was coughing/sick,
BKG001310,,,Vehicle Breakdown
BKG001313,AC is not working,,
BKG001315,,,Vehicle Breakdown
BKG001318,,,Other Issue
BKG001324,,More than permitted people in there,
BKG001325,,,Vehicle Breakdown
BKG001326,,More than permitted people in there,
BKG001327,,Personal & Car related issues,
BKG001332,,,Vehicle Breakdown
BKG001333,,Customer related issue,
BKG001337,,More than permitted people in there,
BKG001342,Wrong Address,,
BKG001343,,,Other Issue
BKG001348,,,Other Issue
BKG001354,,More than permitted people in there,
BKG001360,,More than permitted people in there,
BKG001362,,,Other Issue
BKG001364,,Customer related issue,
BKG001365,,The customer was coughing/sick,
BKG001371,,Customer related issue,
BKG001375,,The customer was coughing/sick,
BKG001376,Driver is not moving towards pickup location,,
BKG001382,Wrong Address,,
BKG001384,,,Vehicle Breakdown
BKG001385,,More than permitted people in there,
BKG001394,,,Vehicle Breakdown
BKG001395,,Personal & Car related issues,
BKG001396,,Customer related issue,
BKG001400,,Customer related issue,
BKG001401,,,Vehicle Breakdown
BKG001402,AC is not working,,
BKG001405,,The customer was coughing/sick,
BKG001406,,,Vehicle Breakdown
BKG001411,,The customer was coughing/sick,
BKG001412,,More than permitted people in there,
BKG001417,,More than permitted people in there,
BKG001418,,,Customer Demand
BKG001429,,The customer was coughing/sick,
BKG001430,,The customer was coughing/sick,
BKG001431,,,Customer Demand
BKG001432,,Customer related issue,
BKG001437,,,Vehicle Breakdown
BKG001438,,The customer was coughing/sick,
BKG001440,Driver asked to cancel,,
BKG001445,,,Vehicle Breakdown
BKG001446,,More than permitted people in there,
BKG001451,,,Vehicle Breakdown
BKG001452,,,Other Issue
BKG001453,,,Customer Demand
BKG001469,,,Customer Demand
BKG001470,,Personal & Car related issues,
BKG001471,,The customer was coughing/sick,
BKG001472,,,Vehicle Breakdown
BKG001473,,,Other Issue
BKG001474,,The customer was coughing/sick,
BKG001475,,The customer was coughing/sick,
BKG001476,Driver asked to cancel,,
BKG001479,,,Vehicle Breakdown
BKG001488,,More than permitted people in there,
BKG001489,,,Other Issue
BKG001499,,Personal & Car related issues,
BKG001505,,The customer was coughing/sick,
BKG001510,,Personal & Car related issues,
BKG001512,Change of plans,,
BKG001516,,,Other Issue
BKG001521,,,Customer Demand
BKG001522,,,Customer Demand
BKG001527,Driver asked to cancel,,
BKG001528,AC is not working,,
BKG001531,,More than permitted people in there,
BKG001532,,Customer related issue,
BKG001533,,Customer related issue,
BKG001534,,,Vehicle Breakdown
BKG001535,,,Other Issue
BKG001539,,,Customer Demand
BKG001540,,,Vehicle Breakdown
BKG001544,Driver asked to cancel,,
BKG001548,,Customer related issue,
BKG001549,,More than permitted people in there,
BKG001557,AC is not working,,
BKG001560,,Personal & Car related issues,
BKG001561,,,Vehicle Breakdown
BKG001562,,The customer was coughing/sick,
BKG001563,AC is not working,,
BKG001566,Wrong Address,,
BKG001569,,Customer related issue,
BKG001570,,,Customer Demand
BKG001572,Driver is not moving towards pickup location,,
BKG001575,,,Customer Demand
BKG001578,Change of plans,,
BKG001580,,Customer related issue,
BKG001583,,Personal & Car related issues,
BKG001587,,,Vehicle Breakdown
BKG001588,Driver asked to cancel,,
BKG001589,,,Vehicle Breakdown
BKG001593,,The customer was coughing/sick,
BKG001598,Change of plans,,
BKG001600,,,Other Issue
BKG001601,,,Customer Demand
BKG001605,,The customer was coughing/sick,
BKG001606,,More than permitted people in there,
BKG001607,,,Customer Demand
BKG001612,,Personal & Car related issues,
BKG001613,,The customer was coughing/sick,
BKG001614,Change of plans,,
BKG001615,,Customer related issue,
BKG001617,AC is not working,,
BKG001618,,The customer was coughing/sick,
BKG001626,AC is not working,,
BKG001629,,The customer was coughing/sick,
BKG001630,,Customer related issue,
BKG001633,,The customer was coughing/sick,
BKG001634,,,Vehicle Breakdown
BKG001640,,The customer was coughing/sick,
BKG001641,,,Vehicle Breakdown
BKG001642,,More than permitted people in there,
BKG001650,AC is not working,,
BKG001652,Driver is not moving towards pickup location,,
BKG001654,,,Customer Demand
BKG001655,,More than permitted people in there,
BKG001656,,,Customer Demand
BKG001660,,Customer related issue,
BKG001664,,Customer related issue,
BKG001669,Wrong Address,,
BKG001671,,,Customer Demand
BKG001672,,,Other Issue
BKG001676,Driver asked to cancel,,
BKG001677,,The customer was coughing/sick,
BKG001684,Driver is not moving towards pickup location,,
BKG001685,,The customer was coughing/sick,
BKG001686,,Customer related issue,
BKG001694,,Customer related issue,
BKG001695,,More than permitted people in there,
BKG001697,Driver is not moving towards pickup location,,
BKG001702,,Customer related issue,
BKG001703,,The customer was coughing/sick,
BKG001709,Change of plans,,
BKG001710,,,Other Issue
BKG001711,,,Other Issue
BKG001712,,,Vehicle Breakdown
BKG001714,Change of plans,,
BKG001718,,More than permitted people in there,
BKG001719,,,Vehicle Breakdown
BKG001725,,Personal & Car related issues,
BKG001726,,Personal & Car related issues,
BKG001728,,,Vehicle Breakdown
BKG001730,Driver asked to cancel,,
BKG001731,,The customer was coughing/sick,
BKG001734,,More than permitted people in there,
BKG001740,,Customer related issue,
BKG001741,,,Customer Demand
BKG001747,,,Other Issue
BKG001748,,,Other Issue
BKG001749,Driver asked to cancel,,
BKG001756,,Personal & Car related issues,
BKG001757,,Personal & Car related issues,
BKG001765,,More than permitted people in there,
BKG001766,,,Other Issue
BKG001768,Wrong Address,,
BKG001771,,,Other Issue
BKG001772,,More than permitted people in there,
BKG001773,,,Vehicle Breakdown
BKG001781,,More than permitted people in there,
BKG001782,,,Customer Demand
BKG001783,,,Other Issue
BKG001784,,The customer was coughing/sick,
BKG001786,Driver asked to cancel,,
BKG001788,Change of plans,,
BKG001791,,,Customer Demand
BKG001793,,,Customer Demand
BKG001799,,,Other Issue
BKG001800,Change of plans,,
BKG001805,AC is not working,,
BKG001806,,Personal & Car related issues,
BKG001807,,Customer related issue,
BKG001808,,The customer was coughing/sick,
BKG001811,Driver asked to cancel,,
BKG001814,,,Vehicle Breakdown
BKG001819,,Personal & Car related issues,
BKG001824,,,Vehicle Breakdown
BKG001825,,Customer related issue,
BKG001829,,Customer related issue,
BKG001830,,More than permitted people in there,
BKG001834,,Personal & Car related issues,
BKG001835,,The customer was coughing/sick,
BKG001836,,,Customer Demand
BKG001839,Change of plans,,
BKG001847,AC is not working,,
BKG001848,,Personal & Car related issues,
BKG001849,,,Other Issue
BKG001850,,,Customer Demand
BKG001854,,,Customer Demand
BKG001855,,The customer was coughing/sick,
BKG001856,,Personal & Car related issues,
BKG001861,Driver asked to cancel,,
BKG001865,,More than permitted people in there,
BKG001866,,,Vehicle Breakdown
BKG001867,,,Vehicle Breakdown
BKG001868,,Customer related issue,
BKG001872,,The customer was coughing/sick,
BKG001875,Wrong Address,,
BKG001877,,Customer related issue,
BKG001878,,Personal & Car related issues,
BKG001883,,Customer related issue,
BKG001884,,More than permitted people in there,
BKG001887,,Customer related issue,
BKG001891,Change of plans,,
BKG001892,,The customer was coughing/sick,
BKG001893,Change of plans,,
BKG001894,,,Customer Demand
BKG001897,Driver is not moving towards pickup location,,
BKG001899,,,Customer Demand
BKG001900,,The customer was coughing/sick,
BKG001901,,More than permitted people in there,
BKG001903,Driver is not moving towards pickup location,,
BKG001909,Driver asked to cancel,,
BKG001910,Driver asked to cancel,,
BKG001911,,,Customer Demand
BKG001912,,,Other Issue
BKG001913,,Personal & Car related issues,
BKG001914,,Customer related issue,
BKG001915,,More than permitted people in there,
BKG001919,,More than permitted people in there,
BKG001920,,Customer related issue,
BKG001921,,Customer related issue,
BKG001923,,More than permitted people in there,
BKG001924,,,Customer Demand
BKG001927,Change of plans,,
BKG001929,,More than permitted people in there,
BKG001930,,,Customer Demand
BKG001931,,,Vehicle Breakdown
BKG001932,,,Other Issue
BKG001936,,Personal & Car related issues,
BKG001937,,The customer was coughing/sick,
BKG001938,,More than permitted people in there,
BKG001941,Driver asked to cancel,,
BKG001942,,More than permitted people in there,
BKG001943,,,Other Issue
BKG001945,Wrong Address,,
BKG001946,,The customer was coughing/sick,
BKG001950,,More than permitted people in there,
BKG001951,,,Vehicle Breakdown
BKG001952,,Customer related issue,
BKG001954,Wrong Address,,
BKG001958,,Customer related issue,
BKG001959,,,Customer Demand
BKG001963,,The customer was coughing/sick,
BKG001964,,Customer related issue,
BKG001968,,The customer was coughing/sick,
BKG001969,,The customer was coughing/sick,
BKG001971,,,Customer Demand
BKG001975,,,Customer Demand
BKG001976,,The customer was coughing/sick,
BKG001983,,Customer related issue,
BKG001984,,More than permitted people in there,
BKG001985,,,Other Issue
BKG001988,,,Other Issue
BKG001990,Driver is not moving towards pickup location,,
BKG001991,,Personal & Car related issues,
BKG001995,AC is not working,,
BKG001996,,Personal & Car related issues,
BKG001999,,Personal & Car related issues,
BKG002000,,The customer was coughing/sick,
BKG002001,,,Other Issue
BKG002002,Change of plans,,
BKG002003,,Customer related issue,
BKG002010,,The customer was coughing/sick,
BKG002011,Change of plans,,
BKG002018,Driver asked to cancel,,
BKG002021,,,Vehicle Breakdown
BKG002022,,The customer was coughing/sick,
BKG002023,,Personal & Car related issues,
BKG002024,,The customer was coughing/sick,
BKG002025,,Customer related issue,
BKG002027,Driver is not moving towards pickup location,,
BKG002030,,More than permitted people in there,
BKG002031,,Personal & Car related issues,
BKG002032,,,Other Issue
BKG002035,,,Vehicle Breakdown
BKG002036,,More than permitted people in there,
BKG002037,,More than permitted people in there,
BKG002038,,The customer was coughing/sick,
BKG002042,,Personal & Car related issues,
BKG002044,,Customer related issue,
BKG002054,,Customer related issue,
BKG002056,Wrong Address,,
BKG002057,,More than permitted people in there,
BKG002061,,Customer related issue,
BKG002063,,Personal & Car related issues,
BKG002068,,Personal & Car related issues,
BKG002069,,Personal & Car related issues,
BKG002070,,Customer related issue,
BKG002077,Wrong Address,,
BKG002078,,Personal & Car related issues,
BKG002081,AC is not working,,
BKG002085,,The customer was coughing/sick,
BKG002086,,More than permitted people in there,
BKG002090,,The customer was coughing/sick,
BKG002095,,,Other Issue
BKG002096,,,Vehicle Breakdown
BKG002100,,The customer was coughing/sick,
BKG002101,,,Customer Demand
BKG002104,Driver asked to cancel,,
BKG002111,,,Other Issue
BKG002112,,Personal & Car related issues,
BKG002113,,The customer was coughing/sick,
BKG002118,,,Customer Demand
BKG002119,,More than permitted people in there,
BKG002120,Wrong Address,,
BKG002123,,More than permitted people in there,
BKG002130,,More than permitted people in there,
BKG002135,,More than permitted people in there,
BKG002136,AC is not working,,
BKG002141,,Customer related issue,
BKG002142,,,Customer Demand
BKG002143,,,Other Issue
BKG002144,,The customer was coughing/sick,
BKG002148,,Personal & Car related issues,
BKG002149,,More than permitted people in there,
BKG002154,,,Vehicle Breakdown
BKG002155,,More than permitted people in there,
BKG002156,,,Customer Demand
BKG002157,,More than permitted people in there,
BKG002167,,Personal & Car related issues,
BKG002168,,,Other Issue
BKG002169,,,Vehicle Breakdown
BKG002170,,,Other Issue
BKG002171,,Personal & Car related issues,
BKG002178,,Personal & Car related issues,
BKG002182,,Customer related issue,
BKG002183,,Customer related issue,
BKG002185,Wrong Address,,
BKG002186,,More than permitted people in there,
BKG002189,AC is not working,,
BKG002192,,The customer was coughing/sick,
BKG002193,Wrong Address,,
BKG002197,,More than permitted people in there,
BKG002198,,More than permitted people in there,
BKG002206,,Customer related issue,
BKG002207,,,Other Issue
BKG002208,,More than permitted people in there,
BKG002213,,,Customer Demand
BKG002217,,More than permitted people in there,
BKG002218,,The customer was coughing/sick,
BKG002219,,Personal & Car related issues,
BKG002228,,The customer was coughing/sick,
BKG002232,,More than permitted people in there,
BKG002235,,The customer was coughing/sick,
BKG002238,,,Vehicle Breakdown
BKG002239,,,Customer Demand
BKG002242,,,Customer Demand
BKG002245,,,Other Issue
BKG002250,,,Customer Demand
BKG002251,,,Vehicle Breakdown
BKG002253,,Customer related issue,
BKG002254,,More than permitted people in there,
BKG002255,,Personal & Car related issues,
BKG002258,,Personal & Car related issues,
BKG002259,,More than permitted people in there,
BKG002260,,Customer related issue,
BKG002265,,,Vehicle Breakdown
BKG002269,,,Vehicle Breakdown
BKG002270,,,Other Issue
BKG002285,,The customer was coughing/sick,
BKG002288,,The customer was coughing/sick,
BKG002293,,,Vehicle Breakdown
BKG002294,,,Vehicle Breakdown
BKG002295,,The customer was coughing/sick,
BKG002296,,,Customer Demand
BKG002297,Driver asked to cancel,,
BKG002298,,Customer related issue,
BKG002302,,More than permitted people in there,
BKG002303,,Personal & Car related issues,
BKG002312,,Customer related issue,
BKG002316,,,Customer Demand
BKG002318,,Customer related issue,
BKG002319,,,Vehicle Breakdown
BKG002322,,More than permitted people in there,
BKG002323,,Personal & Car related issues,
BKG002326,Change of plans,,
BKG002329,,,Customer Demand
BKG002330,,The customer was coughing/sick,
BKG002331,,,Other Issue
BKG002334,,The customer was coughing/sick,
